state_id	state	municipality_id	municipality	areas_id	areas	clues	establishment_type_id	establishment_type	institution_id	institution	clinics	beds
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000194	1	De consulta externa	SSA	SSA	4	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000206	1	De consulta externa	SSA	SSA	1	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000211	1	De consulta externa	SSA	SSA	1	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000223	1	De consulta externa	SSA	SSA	1	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000240	1	De consulta externa	SSA	SSA	5	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000252	1	De consulta externa	SSA	SSA	4	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000264	1	De consulta externa	SSA	SSA	4	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000276	1	De consulta externa	SSA	SSA	1	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA000293	1	De consulta externa	SSA	SSA	3	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA001274	1	De consulta externa	SSA	SSA	4	0
1	Aguascalientes	1001	Aguascalientes	1	Rural	ASSSA001355	1	De consulta externa	SSA	SSA	4	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASDIF000011	4	De asistencia social	DIF	DIF	0	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASDIF000064	4	De asistencia social	DIF	DIF	0	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASHUN000012	1	De consulta externa	HUN	HUN	34	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000016	2	De hospitalización	IMSS	IMSS	22	141
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000021	2	De hospitalización	IMSS	IMSS	38	187
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000033	1	De consulta externa	IMSS	IMSS	27	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000045	1	De consulta externa	IMSS	IMSS	35	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000050	1	De consulta externa	IMSS	IMSS	19	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000062	1	De consulta externa	IMSS	IMSS	33	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000074	1	De consulta externa	IMSS	IMSS	20	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000132	4	De asistencia social	IMSS	IMSS	0	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000144	1	De consulta externa	IMSS	IMSS	16	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000154	1	De consulta externa	IMSS	IMSS	9	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000173	1	De consulta externa	IMSS	IMSS	39	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIMS000185	3	De apoyo	IMSS	IMSS	0	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIST000016	2	De hospitalización	ISSSTE	ISSSTE	21	82
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIST000021	1	De consulta externa	ISSSTE	ISSSTE	14	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIST000062	1	De consulta externa	ISSSTE	ISSSTE	18	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIST000086	1	De consulta externa	ISSSTE	ISSSTE	0	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASIST000091	1	De consulta externa	ISSSTE	ISSSTE	0	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASSCT000014	1	De consulta externa	SCT	SCT	3	0
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASSDN000046	2	De hospitalización	SEDENA	SEDENA	2	30
1	Aguascalientes	1001	Aguascalientes	2	Urbano	ASSMP000016	2	De hospitalización	SMP	SMP	0	0
